LOCAL DO TIROTEIO,DATA DO TIROTEIO,HORÁRIO DO TIROTEIO,MORTES?,CIVIS MORTOS,POLICIAIS MORTOS,FERIDOS?,CIVIS FERIDOS,POLICIAIS FERIDOS,OPERAÇÃO POLICIAL?,LATITUDE,LONGITUDE,INDEX
Rua Alcobaça - Ricardo de Albuquerque| Rio de Janeiro - RJ| Brasil,2016/07/05,20:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8269805908,-43.3921813965,39
Rua Araújo Leitão - Engenho Novo| Rio de Janeiro - RJ| Brasil,2016/07/05,20:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9137287140,-43.2714958191,40
Penha| Rio de Janeiro - RJ| Brasil,2016/07/05,21:56:00,Não,0,0,Não,0,0,Não,-22.8308544159,-43.2698173523,42
Morro da fe,2016/07/05,22:16:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-23.9467792511,-46.3517990112,43
Avenida Professor João Brasil - Venda da Cruz| São Gonçalo - RJ| Brasil,2016/07/05,22:24:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8636379242,-43.0884628296,44
Avenida Pastor Martin Luther King Junior - Inhauma| Rio de Janeiro - RJ| Brasil,2016/07/05,22:24:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8431758881,-43.3312721252,45
Estrada Nilo Peçanha - Olinda| Nilópolis - RJ| Brasil,2016/07/05,22:34:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8107452393,-43.4047622681,46
Rua do Desenhista - Bangu| Rio de Janeiro - RJ| Brasil,2016/07/05,22:38:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.8700351715,-43.4775199890,47
Rua Joaquim de Queiroz - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/05,22:38:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8594436646,-43.2763748169,48
Rua Joaquim de Queiroz - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/05,22:35:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8594436646,-43.2763748169,49
Av. Abílio Augusto Távora - Jardim Alvorada| Nova Iguaçu - RJ| Brasil,2016/07/05,22:00:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.7789783478,-43.5349235535,50
Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/07/05,22:50:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8593330383,-43.2754745483,51
Engenheiro Pedreira| Japeri - RJ| Brasil,2016/07/02,22:52:00,Não Sabe,3,0,Não Sabe,6,1,Sim,-22.6782531738,-43.6063308716,52
Engenheiro Pedreira| Japeri - RJ| Brasil,2016/07/02,22:52:00,Não Sabe,3,0,Não Sabe,6,1,Sim,-22.6782531738,-43.6063308716,53
