LOCAL DO TIROTEIO,DATA DO TIROTEIO,HORÁRIO DO TIROTEIO,MORTES?,CIVIS MORTOS,POLICIAIS MORTOS,FERIDOS?,CIVIS FERIDOS,POLICIAIS FERIDOS,OPERAÇÃO POLICIAL?
Av. São Bento - São Bento| Duque de Caxias - RJ| Brasil,2016/07/05,20:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Estrada de Belford Roxo| Nova Iguaçu - RJ| Brasil,2016/07/06,01:14:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Ibiá - Turiaçu| Rio de Janeiro - RJ| Brasil,2016/07/06,01:44:00,Não Sabe,0,0,Não Sabe,0,0,Não
Av. União - Santa Terezinha| Mesquita - RJ| Brasil,2016/06/05,22:00:00,Sim,1,0,Sim,2,0,Não
Lins de Vasconcelos| Rio de Janeiro - RJ| Brasil,2016/07/05,20:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Pedro Guedes - Maracanã| Rio de Janeiro - RJ| Brasil,2016/07/06,06:51:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Linha Amarela - Jacarepagua| Rio de Janeiro - RJ| Brasil,2016/07/06,07:50:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Cezar Muzio próximo ao 281 - Vicente de Carvalho| Rio de Janeiro - RJ| Brasil,2016/07/06,08:19:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Cavalcante| Rio de Janeiro - RJ| Brasil,2016/07/06,09:12:00,Não Sabe,0,12,Não Sabe,0,0,Não Sabe
Rua do Magistrado - Bangu| Rio de Janeiro - RJ| Brasil,2016/07/04,11:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Enes Filho - Penha Circular| Rio de Janeiro - RJ| Brasil,2016/07/06,12:03:00,Não,0,0,Não,0,0,Não
Av. Vicente de Carvalho - Vicente de Carvalho| Rio de Janeiro - RJ| Brasil,2016/07/06,12:24:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Morro do Dezoito - Quintino Bocaiuva| Rio de Janeiro - RJ| Brasil,2016/07/06,13:36:00,Não Sabe,0,9,Não Sabe,0,0,Sim
Rua Lisboa - Jardim Santa Rosa| São João de Meriti - RJ| Brasil,2016/07/06,16:03:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Lisboa - Jardim Santa Rosa| São João de Meriti - RJ| Brasil,2016/07/06,16:03:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Capineira - Vila Ideal| Duque de Caxias - RJ| Brasil,2016/07/06,17:55:00,Não Sabe,0,0,Sim,1,0,Sim
Rua São José - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua da Ajuda - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:16:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Estrada de Praia Seca| Araruama - RJ| Brasil,2016/07/06,18:46:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Mangueira| Rio de Janeiro - RJ| Brasil,2016/07/06,18:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua São José - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:15:00,Não Sabe,1,0,Não Sabe,1,0,Não Sabe
Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/07/06,19:32:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Estrada do Itararé - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/06,19:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Governador Portela - Trezentos| São João de Meriti - RJ| Brasil,2016/07/06,19:53:00,Não Sabe,0,0,Não Sabe,0,0,Não
Rua Uranos próximo ao 1326 - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/06,19:28:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Baronesa de Uruguaiana - Lins de Vasconcelos| Rio de Janeiro - RJ| Brasil,2016/07/06,18:05:00,Não Sabe,0,0,Não Sabe,0,0,Sim
Rua Maria Lucinda - Vila Tiradentes| São João de Meriti - RJ| Brasil,2016/07/06,20:12:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Valinhos - Engenho da Rainha| Rio de Janeiro - RJ| Brasil,2016/07/06,20:17:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Estrada do Itararé - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/06,20:24:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Estrada do Páu-Ferro - Pechincha| RJ| Brasil,2016/07/06,20:47:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Estrada do Páu-Ferro - Pechincha| Rio de Janeiro - RJ| Brasil,2016/07/06,21:04:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Piratini próximo ao 728 - Centro| Duque de Caxias - RJ| Brasil,2016/07/06,21:01:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Av. Arcampo| Duque de Caxias - RJ| Brasil,2016/07/06,20:00:00,Não Sabe,0,0,Não Sabe,0,0,Não
