LOCAL DO TIROTEIO,DATA DO TIROTEIO,HORÁRIO DO TIROTEIO,MORTES?,CIVIS MORTOS,POLICIAIS MORTOS,FERIDOS?,CIVIS FERIDOS,POLICIAIS FERIDOS,OPERAÇÃO POLICIAL?,LATITUDE,LONGITUDE
Estrada do Páu-Ferro - Pechincha| Rio de Janeiro - RJ| Brasil,2016/07/06,21:04:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9277915955,-43.3439826965
Rua Piratini próximo ao 728 - Centro| Duque de Caxias - RJ| Brasil,2016/07/06,21:01:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7925643921,-43.3126411438
Av. Arcampo| Duque de Caxias - RJ| Brasil,2016/07/06,20:00:00,Não Sabe,0,0,Não Sabe,0,0,Não,-22.6509246826,-43.2795562744
Av. Cesário de Melo - Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/06,21:33:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9142894745,-43.6025466919
Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/06,21:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9196510315,-43.6843872070
Rua Marcolino - Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/06,20:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9293460846,-43.6625289917
R. Dr. Jurumenha - Barro Vermelho| São Gonçalo - RJ| Brasil,2016/07/06,22:01:00,Não Sabe,0,0,Não Sabe,0,0,Não,-22.8389091492,-43.0696144104
Rua México - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:00:00,Não Sabe,0,0,Não Sabe,1,0,Não Sabe,-22.9090290070,-43.1751976013
Avenida Professor João Brasil - Venda da Cruz| Niterói - RJ| Brasil,2016/07/06,22:21:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8636379242,-43.0884628296
Praça Mário Lago - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:10:00,Sim,1,0,Não,0,0,Sim,-22.9057559967,-43.1761894226
Rua Vicentina Goularte - Miriambi| São Gonçalo - RJ| Brasil,2016/07/06,18:15:00,Não Sabe,2,0,Não Sabe,3,0,Não,-22.8227462769,-42.9846801758
Rua General Belegarde - Engenho Novo| Rio de Janeiro - RJ| Brasil,2016/07/06,22:52:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9079570770,-43.2721900940
Avenida Cesário de Melo - Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/06,23:01:00,Não,0,0,Não Sabe,0,0,Não Sabe,-22.9142894745,-43.6025466919
Maré| Rio de Janeiro - RJ| Brasil,2016/07/06,23:28:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8574962616,-43.2430152893
Quintino Bocaiuva| Rio de Janeiro - RJ| Brasil,2016/07/06,23:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8936595917,-43.3217468262
Cidade de Deus| Rio de Janeiro - RJ| Brasil,2016/07/06,23:43:00,Não,0,0,Não Sabe,0,0,Não Sabe,-22.9481697083,-43.3626708984
Morro do Juramento - Vicente de Carvalho| Rio de Janeiro - RJ| Brasil,2016/07/06,23:45:00,Não,0,0,Sim,1,0,Sim,-22.8627777100,-43.3152770996
Morro Sao Joao - Sampaio| Rio de Janeiro - RJ| Brasil,2016/07/06,23:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9077777863,-43.2616653442
Santa Amelia| Belford Roxo - RJ| Brasil,2016/07/07,23:50:00,Não Sabe,0,0,Não Sabe,1,0,Não Sabe,-22.7464790344,-43.3885459900
Jacarezinho| Rio de Janeiro - RJ| Brasil,2016/07/07,00:15:00,Não Sabe,0,0,Não Sabe,0,0,Não,-22.8875579834,-43.2581939697
Morro Sao Joao - Sampaio| Rio de Janeiro - RJ| Brasil,2016/07/07,00:25:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.9077777863,-43.2616653442
Muito tito em frente a churrascaria Toca do Boi,2016/07/07,00:35:00,Não,0,0,Não,0,0,Não,43.5658226013,-116.2223129272
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,00:43:00,Sim,0,0,Não Sabe,0,0,Sim,-22.8969192505,-43.3516807556
Rua Japoara - Ricardo de Albuquerque| Rio de Janeiro - RJ| Brasil,2016/07/06,23:30:00,Não Sabe,1,0,Não Sabe,0,0,Sim,-22.8405761719,-43.4050102234
Rua H Isaac Zaidman - Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/07,00:20:00,Não,0,0,Sim,0,0,Sim,-22.8193492889,-43.3650283813
Largo da Carioca - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:10:00,Não Sabe,1,0,Não Sabe,0,0,Não Sabe,-22.9064922333,-43.1776351929
Estrada de Madureira - Jardim Paraoso| Nova Iguaçu - RJ| Brasil,2016/07/07,02:50:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8169288635,-43.5946388245
Via Light - Centro| Nova Iguaçu - RJ| Brasil,2016/07/07,02:53:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7556781769,-43.4610023499
Rua Magalhães Castro - Riachuelo| Rio de Janeiro - RJ| Brasil,2016/07/05,23:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8979244232,-43.2567100525
Rua Magalhães Castro - Riachuelo| Rio de Janeiro - RJ| Brasil,2016/07/05,23:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8979244232,-43.2567100525
Duque de Caxias - RJ| Brasil,2016/07/06,22:00:00,Sim,1,0,Sim,1,0,Não,-22.7862987518,-43.3053092957
Rua Iguaba Grande - Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/07,09:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8167095184,-43.3751106262
Maré| Rio de Janeiro - RJ| Brasil,2016/07/07,09:54:00,Não,0,0,Sim,0,0,Sim,-22.8574962616,-43.2430152893
Rua do Cajá - Penha| Rio de Janeiro - RJ| Brasil,2016/07/07,10:31:00,Não,0,0,Não,0,0,Sim,-22.8442554474,-43.2876205444
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,10:36:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8969192505,-43.3516807556
Estr. Granja - Palhada| Nova Iguaçu - RJ| Brasil,2016/07/04,15:18:00,Não,3,5,Não Sabe,0,0,Sim,-22.7555866241,-43.5319862366
Rua Joaquim de Queiroz - Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/07/07,10:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8594436646,-43.2763748169
Rua Guaiúba - Acari| Rio de Janeiro - RJ| Brasil,2016/07/07,10:38:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8232803345,-43.3455009460
Estrada do Camboatá - Guadalupe| Rio de Janeiro - RJ| Brasil,2016/07/07,10:43:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8340682983,-43.3795166016
Duque de Caxias - RJ| Brasil,2016/07/07,11:12:00,Não Sabe,0,0,Sim,0,0,Não Sabe,-22.7862987518,-43.3053092957
Av. Antares - Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/07,11:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9217586517,-43.6634178162
Rua Fidélis de Carvalho - Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/07,11:17:00,Não Sabe,0,0,Sim,0,0,Sim,-22.8195838928,-43.3466300964
Rua dos Coqueiros - Santa Cruz da Serra| Duque de Caxias - RJ| Brasil,2016/07/06,22:10:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.6492080688,-43.2738113403
Rua Lins de Vasconcelos - Lins de Vasconcelos| Rio de Janeiro - State of Rio de Janeiro| Brazil,2016/07/07,11:22:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9085521698,-43.2797622681
Rua Baronesa do Engenho Novo - Engenho Novo| Rio de Janeiro - RJ| Brasil,2016/07/05,20:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8956375122,-43.2641410828
Rua Lins De Vasconcelos próximo ao 640 - Lins de Vasconcelos| Rio de Janeiro - RJ| Brasil,2016/07/07,12:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9115161896,-43.2857322693
Rua Lins De Vasconcelos próximo ao 640 - Lins de Vasconcelos| Rio de Janeiro - RJ| Brasil,2016/07/07,12:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9115161896,-43.2857322693
Parque Paulista| Duque de Caxias - RJ| Brasil,2016/07/06,13:02:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.6459140778,-43.2569847107
Rua Goiás - Centro| São João de Meriti - RJ| Brasil,2016/07/07,13:03:00,Sim,1,0,Não,0,0,Não,-22.7999439240,-43.3583488464
Rua Eden - Lins de Vasconcelos| Rio de Janeiro - RJ| Brasil,2016/07/07,14:01:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9120635986,-43.2875099182
Rua Hannibal Porto próximo ao 601 - Irajá| Rio de Janeiro - RJ| Brasil,2016/07/07,14:30:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.8387565613,-43.3241806030
Av. União - Santa Terezinha| Mesquita - RJ| Brasil,2016/07/07,15:13:00,Não Sabe,0,0,Não Sabe,0,0,Não,-22.7903957367,-43.4355926514
Rua Álvares de Azevedo - Cachambi| Rio de Janeiro - RJ| Brasil,2016/07/07,03:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8904476166,-43.2634544373
Morro dos Cabritos - Lagoa| Rio de Janeiro - RJ| Brasil,2016/07/07,15:57:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9686107635,-43.1977767944
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,16:57:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8969192505,-43.3516807556
Rua Álvares de Azevedo - Cachambi| Rio de Janeiro - RJ| Brasil,2016/07/07,04:24:00,Sim,1,0,Sim,1,0,Sim,-22.8904476166,-43.2634544373
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,17:14:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8969192505,-43.3516807556
Rua Baronesa,2016/07/07,17:17:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8984489441,-43.3497352600
São José Operário| Praça Seca,2016/07/07,17:24:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,37.3382072449,-121.8863296509
Rua Barão - Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,17:34:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8986415863,-43.3523597717
Cangulo| Duque de Caxias - RJ| Brasil,2016/07/07,18:08:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.6937789917,-43.2279663086
Leme| Rio de Janeiro - RJ| Brasil,2016/07/07,18:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9615020752,-43.1662406921
Estrada Rio D\'ouro - Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/07,18:59:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8170471191,-43.3471221924
Rua Mogiqui - Costa Barros| Rio de Janeiro - RJ| Brasil,2016/07/07,19:21:00,Não Sabe,0,0,Não Sabe,0,0,Não,-22.8236274719,-43.3698844910
Rua São Francisco Xavier - Maracanã| Rio de Janeiro - RJ| Brasil,2016/07/07,20:23:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9137611389,-43.2340965271
